"titulo","resumen","categoria","autor","fecha","link"
"Ministro israelí amenaza con anexar partes de la Franja de Gaza","
 ""Ordené al ejército que se apodere de más territorios en ...",NA,"AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/ministro-israeli-amenaza-con-anexar-partes-de-la-franja-de-gaza/"
"Tras la resurrección de Brasil, Argentina y Uruguay miden fuerzas con el Mundial de reojo","
 En el cierre de la fecha 13 de 18, no ...",NA,"AFP","21 de marzo de 2025","https://www.la-razon.com/marcas/2025/03/21/tras-la-resurreccion-de-brasil-argentina-y-uruguay-miden-fuerzas-con-el-mundial-de-reojo/"
"YPFB rechaza denuncia de agua en diésel y asegura cumplimiento de protocolos","
 La estatal petrolera presentó actas firmadas por conductores que avalan ...","Economía","Daniel Zenteno","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/1049896/"
"Bolivia firma protocolo de requisitos fitosanitarios para exportar sorgo a China","
 El ministro Yamil Flores firmó el documento con el viceministro ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/bolivia-firma-protocolo-de-requisitos-fitosanitarios-para-exportar-sorgo-a-china/"
"Oportunidad en tiempos de crisis: expertos revelan las claves","
 Especialistas en comunicación, marketing y negocios nos dan las claves ...","Economía","Óscar Capriles","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/oportunidad-crisis-claves/"
"Tras 45 días, el Gobierno ratifica veto a la exportación de carne porque el precio no baja","
 El ministro Yamil Flores anunció que este viernes se reunirá ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/tras-45-dias-el-gobierno-ratifica-veto-a-la-exportacion-de-carne-porque-el-precio-no-baja/"
"La electrificación del transporte avanza en Bolivia","
 La movilidad eléctrica se consolida en Bolivia como una alternativa ...","Economía","Óscar Capriles","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/electromovilidad-ascenso-autos-electricos-bolivia-electrificacion-del-transporte/"
"Reportan 260 escuelas afectadas por lluvias en el país, 107 pasan clases a distancia","
 El ministro Omar Veliz explicó que 117 unidades adoptaron la ...","Sociedad","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/sociedad/2025/03/21/reportan-260-escuelas-afectadas-por-lluvias-en-el-pais-107-pasan-clases-a-distancia/"
"Suspensión de fondos de USAID ahoga a algunos medios de comunicación","
 Tras regresar a la Casa Blanca Donald Trump ordenó recortar ...","Mundo","AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/suspension-de-fondos-de-usaid-ahoga-a-algunos-medios-de-comunicacion/"
"Morales dice que en su gestión hubo estabilidad y que Arce es oficialmente neoliberal","
 “El presidente (Luis Arce) no tiene el valor moral y ...","Nacional","Mauricio Diaz Saravia","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/morales-dice-que-en-su-gestion-hubo-estabilidad-y-que-arce-es-oficialmente-neoliberal/"
"A Bs 85 la entrada más barata para el Bolivia-Uruguay del martes","
 El partido ase disputará este martes 25, en el Titán ...",NA,"Miriam Flori","21 de marzo de 2025","https://www.la-razon.com/marcas/2025/03/21/a-bs-85-la-entrada-mas-barata-para-el-bolivia-uruguay-del-martes/"
"Gobierno compromete 500.000 litros más de diésel para cosecha en Santa Cruz y Beni","
 El ministro Yamil Flores dijo que esa cantidad se sumará ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/gobierno-compromete-500-000-litros-mas-de-diesel-para-cosecha-en-santa-cruz-y-beni/"
"Gobernadores se reúnen en Cochabamba para evaluar la crisis económica","
 El encuentro se realiza en Cochabamba. El gobernador de Chuquisaca ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/gobernadores-se-reunen-en-cochabamba-para-evaluar-la-crisis-economica/"
"En lo que va del año suman 1.805 conversiones de vehículos a gas natural","
 La entidad ejecutora está en proceso de adquisición 14.500 cilindros ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/en-lo-que-va-del-ano-suman-1-805-conversiones-de-vehiculos-a-gas-natural/"
"Más de 400 cooperativas mineras paralizan operaciones por el alza del diésel","
 El presidente de Fecoman, Efraín Silva, denunció que el acceso ...","Economía","Daniel Gutierrez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/mas-de-400-cooperativas-mineras-paralizan-operaciones-por-el-alza-del-diesel/"
"Bolivia solicita a la CAF primer desembolso del crédito de $us 75 millones","
 El ministro de Planificación dijo que espera que el ...","Economía","Erika Ibáñez","20 de marzo de 2025","https://www.la-razon.com/economia/2025/03/20/bolivia-solicita-a-la-caf-primer-desembolso-del-credito-de-us-75-millones/"
"A Bs 85 la entrada más barata para el Bolivia-Uruguay del martes","
 El partido ase disputará este martes 25, en el Titán ...","Mundo","Miriam Flori","21 de marzo de 2025","https://www.la-razon.com/marcas/2025/03/21/a-bs-85-la-entrada-mas-barata-para-el-bolivia-uruguay-del-martes/"
"La economía de los migrantes se resiente por las políticas de Trump","
 La otrora bulliciosa plaza Corona, epicentro de Queens, uno de ...","Nacional","AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/la-economia-de-los-migrantes-se-resiente-por-las-politicas-de-trump/"
"Andrónico Rodríguez, entre la tentación, la postergación y el freno por su candidatura","
 Tercer hombre fuerte del poder por su condición de presidente ...",NA,"Rubén Atahuichi","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/andronico-rodriguez-entre-la-tentacion-la-postergacion-y-el-freno-por-su-candidatura/"
"Rescatan a cachorros que iban a ser sacrificados en un ritual","
 Luego de una intensa búsqueda se logró ubicar el lugar, ...",NA,"Marco Mendoza","21 de marzo de 2025","https://www.la-razon.com/extra/2025/03/21/rescatan-a-cachorros-que-iban-a-ser-sacrificados-en-un-ritual/"
"Plataformas ciudadanas marchan en la ciudad de La Paz por la crisis de combustible y la canasta familiar","
 Siñani indicó que es la primera medida de presión que ...","Economía","Boris Góngora","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/plataformas-ciudadanas-marchan-en-la-ciudad-de-la-paz-por-la-crisis-de-combustible-y-la-canasta-familiar/"
"La AJ desmantela una casa de juego ilegal en Cochabamba","
 Según la entidad, el responsable del establecimiento se dio a ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/la-aj-desmantela-una-casa-de-juego-ilegal-en-cochabamba/"
"Gobierno garantiza combustible y logra acuerdo con el transporte interprovincial de La Paz","
 Los ministros de Hidrocarburos y de Obras Públicas comprometieron abastecimiento ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/gobierno-garantiza-combustible-y-logra-acuerdo-con-el-transporte-interprovincial-de-la-paz/"
"Montenegro descarta ‘receta’ de García Linera y le pregunta por qué no la aplicó en su gestión","
 El ministro de Economía dijo que durante la gestión del ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/montenegro-descarta-receta-de-garcia-linera-y-le-pregunta-por-que-no-la-aplico-en-su-gestion/"
"El sector cañero exige 60 millones de litros de combustible para la producción","
 El dirigente Ruddy Rodríguez recordó que el Gobierno comprometió la ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/el-sector-canero-exige-60-millones-de-litros-de-combustible-para-la-produccion/"
"Morales dice que en su gestión hubo estabilidad y que Arce es oficialmente neoliberal","
 “El presidente (Luis Arce) no tiene el valor moral y ...","Nacional","Mauricio Diaz Saravia","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/morales-dice-que-en-su-gestion-hubo-estabilidad-y-que-arce-es-oficialmente-neoliberal/"
"A Bs 85 la entrada más barata para el Bolivia-Uruguay del martes","
 El partido ase disputará este martes 25, en el Titán ...","Mundo","Miriam Flori","21 de marzo de 2025","https://www.la-razon.com/marcas/2025/03/21/a-bs-85-la-entrada-mas-barata-para-el-bolivia-uruguay-del-martes/"
"La economía de los migrantes se resiente por las políticas de Trump","
 La otrora bulliciosa plaza Corona, epicentro de Queens, uno de ...","Nacional","AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/la-economia-de-los-migrantes-se-resiente-por-las-politicas-de-trump/"
"Andrónico Rodríguez, entre la tentación, la postergación y el freno por su candidatura","
 Tercer hombre fuerte del poder por su condición de presidente ...",NA,"Rubén Atahuichi","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/andronico-rodriguez-entre-la-tentacion-la-postergacion-y-el-freno-por-su-candidatura/"
"El sector cañero exige 60 millones de litros de combustible para la producción","
 El dirigente Ruddy Rodríguez recordó que el Gobierno comprometió la ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/el-sector-canero-exige-60-millones-de-litros-de-combustible-para-la-produccion/"
"Antelo a García Linera: ‘Seguimos trabajando, otros dan cátedra de cómo dejar al país sin futuro’","
 El presidente de la Cainco dijo que ya conocen las ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/antelo-a-garcia-linera-seguimos-trabajando-otros-dan-catedra-de-como-dejar-al-pais-sin-futuro/"
"Montenegro remarca que créditos aprobados no se pueden ‘desviar’ a otros gastos","
 El ministro de Economía exhortó a la Asamblea Legislativa a ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/montenegro-remarca-que-creditos-aprobados-no-se-pueden-desviar-a-otros-gastos/"
"Peaje destruido en Ivirgarzama: Vías Bolivia pierde Bs 12.000 al día y daños suman Bs 634.890","
 El director de la entidad dijo que ya identificaron a ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/peaje-destruido-en-ivirgarzama-vias-bolivia-pierde-bs-12-000-al-dia-y-danos-suman-bs-634-890/"
"Desde el martes, Vías Bolivia pierde Bs 579.420 por no pago de peajes en varias trancas","
 El director de Vías Bolivia anunció que presentará una querella ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/desde-el-martes-vias-bolivia-pierde-bs-579-420-por-no-pago-de-peajes-en-varias-trancas/"
"Paz a García Linera: ‘No seas cobarde, regresa a Bolivia; la historia te agarrará del cogote’","
 El líder nacional de Primero la Gente, Rodrigo Paz Pereira, ...","Nacional","Mauricio Diaz Saravia","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/paz-a-garcia-linera-no-seas-cobarde-regresa-a-bolivia-la-historia-te-agarrara-del-cogote/"
"Choferes asisten al diálogo con el Gobierno, pero ratifican paro de 48 horas en La Paz","
 El dirigente Edson Valdez dijo que solo un ampliado nacional ...","Economía","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/economia/2025/03/21/choferes-asisten-al-dialogo-con-el-gobierno-pero-ratifican-paro-de-48-horas-en-la-paz/"
"Reportan 260 escuelas afectadas por lluvias en el país, 107 pasan clases a distancia","
 El ministro Omar Veliz explicó que 117 unidades adoptaron la ...","Sociedad","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/sociedad/2025/03/21/reportan-260-escuelas-afectadas-por-lluvias-en-el-pais-107-pasan-clases-a-distancia/"
"Suspensión de fondos de USAID ahoga a algunos medios de comunicación","
 Tras regresar a la Casa Blanca Donald Trump ordenó recortar ...","Mundo","AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/suspension-de-fondos-de-usaid-ahoga-a-algunos-medios-de-comunicacion/"
"García Linera sugiere al Gobierno ‘agarrar del cuello’ a empresarios por sus dólares","
 El exvicepresidente recordó que en las gestiones de Evo Morales ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/garcia-linera-sugiere-al-gobierno-agarrar-del-cuello-a-empresarios-por-sus-dolares/"
"Desde 2024, Epcoro recaudó Bs 3.560 millones por venta de 4.450 kilos de oro al BCB","
 El gerente de la empresa proyecta comprar 10 toneladas de ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/desde-2024-epcoro-recaudo-bs-3-560-millones-por-venta-de-4-450-kilos-de-oro-al-bcb/"
"Empresas públicas y proveedores participan en rueda de negocios para fortalecer producción nacional","
 La gerente de Subsidios y Articulación Productiva del Sedem resaltó ...","Economía","Erika Ibáñez","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/empresas-publicas-y-proveedores-participan-en-rueda-de-negocios-para-fortalecer-produccion-nacional/"
"Trabajadores cárnicos anuncian paro nacional por el alza de precios de la carne","
 El sector convoca un ampliado en Santa Cruz para el ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/trabajadores-carnicos-anuncian-paro-nacional-por-el-alza-de-precios-de-la-carne/"
"La ANH intercepta un intento de desvío de 650 litros de gasolina en Cochabamba","
 La FELCC y la ANH decomisaron bidones ocultos en un ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/la-anh-intercepta-un-intento-de-desvio-de-650-litros-de-gasolina-en-cochabamba/"
"Paz a García Linera: ‘No seas cobarde, regresa a Bolivia; la historia te agarrará del cogote’","
 El líder nacional de Primero la Gente, Rodrigo Paz Pereira, ...","Nacional","Mauricio Diaz Saravia","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/paz-a-garcia-linera-no-seas-cobarde-regresa-a-bolivia-la-historia-te-agarrara-del-cogote/"
"Choferes asisten al diálogo con el Gobierno, pero ratifican paro de 48 horas en La Paz","
 El dirigente Edson Valdez dijo que solo un ampliado nacional ...","Economía","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/economia/2025/03/21/choferes-asisten-al-dialogo-con-el-gobierno-pero-ratifican-paro-de-48-horas-en-la-paz/"
"Reportan 260 escuelas afectadas por lluvias en el país, 107 pasan clases a distancia","
 El ministro Omar Veliz explicó que 117 unidades adoptaron la ...","Sociedad","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/sociedad/2025/03/21/reportan-260-escuelas-afectadas-por-lluvias-en-el-pais-107-pasan-clases-a-distancia/"
"Suspensión de fondos de USAID ahoga a algunos medios de comunicación","
 Tras regresar a la Casa Blanca Donald Trump ordenó recortar ...","Mundo","AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/suspension-de-fondos-de-usaid-ahoga-a-algunos-medios-de-comunicacion/"
"Camión cisterna boliviano derrama más de 10.000 litros de diésel en carretera de Chile","
 Un medio chileno reporta que el conductor del vehículo, en ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/camion-cisterna-boliviano-derrama-mas-de-10-000-litros-de-diesel-en-carretera-de-chile/"
"Cívicos cruceños piden al Gobierno dar un paso al costado si no puede resolver la crisis","
 El Comité pro Santa Cruz convocó a movilizaciones a partir ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/civicos-crucenos-piden-al-gobierno-dar-un-paso-al-costado-si-no-puede-resolver-la-crisis/"
"Planta de Senkata cuenta con combustible para dos días de abastecimiento","
 Yacimientos Petrolíferos Fiscales Bolivianos (YPFB) lamentó que el bloqueo de ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/1049324/"
"Una facción de la Federación Túpac Katari baja de El Alto para cercar la plaza Murillo","
 Los movilizados protestan por el encarecimiento de los productos básicos ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/una-faccion-de-la-federacion-tupac-katari-baja-de-el-alto-para-cercar-la-plaza-murillo/"
"Diputados convoca a sesión y agenda créditos por $us 335 millones","
 Además, los legisladores tratarán otros dos proyectos de ley en ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/diputados-convoca-a-sesion-y-agenda-creditos-por-us-335-millones/"
"Reportan 260 escuelas afectadas por lluvias en el país, 107 pasan clases a distancia","
 El ministro Omar Veliz explicó que 117 unidades adoptaron la ...","Sociedad","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/sociedad/2025/03/21/reportan-260-escuelas-afectadas-por-lluvias-en-el-pais-107-pasan-clases-a-distancia/"
"Suspensión de fondos de USAID ahoga a algunos medios de comunicación","
 Tras regresar a la Casa Blanca Donald Trump ordenó recortar ...","Mundo","AFP","21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/suspension-de-fondos-de-usaid-ahoga-a-algunos-medios-de-comunicacion/"
"Morales dice que en su gestión hubo estabilidad y que Arce es oficialmente neoliberal","
 “El presidente (Luis Arce) no tiene el valor moral y ...","Nacional","Mauricio Diaz Saravia","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/morales-dice-que-en-su-gestion-hubo-estabilidad-y-que-arce-es-oficialmente-neoliberal/"
"A Bs 85 la entrada más barata para el Bolivia-Uruguay del martes","
 El partido ase disputará este martes 25, en el Titán ...",NA,"Miriam Flori","21 de marzo de 2025","https://www.la-razon.com/marcas/2025/03/21/a-bs-85-la-entrada-mas-barata-para-el-bolivia-uruguay-del-martes/"
"Una facción de la Federación Túpac Katari baja de El Alto para cercar la plaza Murillo","
 Los movilizados protestan por el encarecimiento de los productos básicos ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/una-faccion-de-la-federacion-tupac-katari-baja-de-el-alto-para-cercar-la-plaza-murillo/"
"Diputados convoca a sesión y agenda créditos por $us 335 millones","
 Además, los legisladores tratarán otros dos proyectos de ley en ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/diputados-convoca-a-sesion-y-agenda-creditos-por-us-335-millones/"
"Defensoría del Pueblo insta al diálogo ante crisis económica","
 El organismo defensor monitorea conflictos por escasez de dólares y ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/defensoria-del-pueblo-insta-al-dialogo-ante-crisis-economica/"
"Transportistas destruyen puesto de peaje en Cochabamba y Gobierno anuncia acciones legales","
 El viceministro Enrique Ponce de León confirmó la participación de ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/transportistas-destruyen-puesto-de-peaje-en-cochabamba-y-gobierno-anuncia-acciones-legales/"
"Pablo Camacho: ‘La economía no se va a regular con amenazas o decretos’","
 Pablo Camacho, presidente de la Cámara Nacional de Industrias, advierte ...","Economía","Óscar Capriles","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/pablo-camacho-la-economia-no-se-va-a-regular-con-amenazas-o-decretos/"
"Salame responsabiliza a la Vicepresidencia por la falta de quórum en sesión bicameral","
 “Aquí parecería un juego, porque cómo usted va a dar ...","Nacional","Daniel Gutierrez","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/salame-responsabiliza-a-la-vicepresidencia-por-la-falta-de-quorum-en-sesion-bicameral/"
"Un hombre fue condenado a 25 años de cárcel por violar a sus hijastras","
 Un primo de las víctimas encontró un flash y al ...","Espacio Empresarial","Marco Mendoza","21 de marzo de 2025","https://www.la-razon.com/extra/2025/03/21/un-hombre-fue-condenado-a-25-anos-de-carcel-por-violar-a-sus-hijastras/"
"La felicidad es clave para el bienestar: Sublime invita a celebrarla en cada detalle de la vida","
 Estudios confirman que los momentos de alegría fortalecen el sistema ...","Mundo","Europa Press","21 de marzo de 2025","https://www.la-razon.com/espacio-empresarial/2025/03/21/la-felicidad-es-clave-para-el-bienestar-sublime-invita-a-celebrarla-en-cada-detalle-de-la-vida/"
"Trump anuncia el F-47, un avión de combate de sexta generación","
 Acompañado de su secretario de Defensa, Pete Hegseth, Trump dijo ...",NA,NA,"21 de marzo de 2025","https://www.la-razon.com/mundo/2025/03/21/trump-anuncia-el-f-47-un-avion-de-combate-de-sexta-generacion/"
"Morales califica al encuentro del Gobierno como una distracción a la crisis económica","
 El expresidente acusa al Gobierno de encubrir el “sufrimiento del ...","Economía","Daniel Zenteno","18 de marzo de 2025","https://www.la-razon.com/economia/2025/03/18/1049161/"
"Cosecha de soya avanza en un 20%, según la CAO","
 De acuerdo con el presidente del agro cruceño, se debe ...","Economía","Daniel Zenteno","18 de marzo de 2025","https://www.la-razon.com/economia/2025/03/18/cosecha-de-soya-avanza-en-un-20-segun-la-cao/"
"YPFB reinicia despachos al 100% de combustible para La Paz y El Alto","
 La estatal petrolera activó turnos dobles las 24 horas para ...","Economía","Daniel Zenteno","18 de marzo de 2025","https://www.la-razon.com/economia/2025/03/18/1049130/"
"Comité pro Santa Cruz convoca a movilizaciones por escasez de combustibles","
 El Comité llama a la “movilización total” a toda la ...","Economía","Daniel Zenteno","18 de marzo de 2025","https://www.la-razon.com/economia/2025/03/18/comite-pro-santa-cruz-convoca-a-movilizaciones-por-escasez-de-combustibles/"
"Andrónico dice que hay créditos para abastecer 10 meses de combustibles","
 Sin embargo, el titular del Senado señaló que con tanto ...","Economía","Daniel Zenteno","18 de marzo de 2025","https://www.la-razon.com/economia/2025/03/18/1049100/"
"Ciclo de cine cierra el Mes de la Francofonía en Bolivia","
 La Francofonía se celebró del 7 al 22 de marzo ...","La Revista","Diego Montaño","21 de marzo de 2025","https://www.la-razon.com/la-revista/2025/03/21/ciclo-de-cine-cierra-el-mes-de-la-francofonia-en-bolivia/"
"Dunn: ‘Arce presidente niega al Arce ministro’","
 El presidente Luis Arce deslindó, una vez más, su responsabilidad ...","Nacional","Erika Ibáñez","21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/dunn-arce-presidente-niega-al-arce-ministro/"
"Educación instruye evaluar clases virtuales o tolerancia si se confirma paro en La Paz","
 El ministro Omar Veliz invoco a los transportistas a ir ...","Sociedad","Daniel Gutierrez","21 de marzo de 2025","https://www.la-razon.com/sociedad/2025/03/21/educacion-instruye-evaluar-clases-virtuales-o-tolerancia-si-se-confirma-paro-en-la-paz/"
"Salame responsabiliza a la Vicepresidencia por la falta de quórum en sesión bicameral","
 “Aquí parecería un juego, porque cómo usted va a dar ...","Nacional",NA,"21 de marzo de 2025","https://www.la-razon.com/nacional/2025/03/21/salame-responsabiliza-a-la-vicepresidencia-por-la-falta-de-quorum-en-sesion-bicameral/"
"Diputados convoca a sesión y agenda créditos por $us 335 millones","
 Además, los legisladores tratarán otros dos proyectos de ley en ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/diputados-convoca-a-sesion-y-agenda-creditos-por-us-335-millones/"
"Defensoría del Pueblo insta al diálogo ante crisis económica","
 El organismo defensor monitorea conflictos por escasez de dólares y ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/defensoria-del-pueblo-insta-al-dialogo-ante-crisis-economica/"
"Transportistas destruyen puesto de peaje en Cochabamba y Gobierno anuncia acciones legales","
 El viceministro Enrique Ponce de León confirmó la participación de ...","Economía","Daniel Zenteno","19 de marzo de 2025","https://www.la-razon.com/economia/2025/03/19/transportistas-destruyen-puesto-de-peaje-en-cochabamba-y-gobierno-anuncia-acciones-legales/"
